Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead,,,
4,6,5,71,10,0,0,,,
4,6,6,81,22,0,0,,,
4,6,7,81,12,0,0,,,
4,6,8,81,25,0,0,,,
4,6,9,55,15,0,0,,,
4,6,10,55,13,0,0,,,
4,6,11,61,26,0,0,,,
4,6,12,71,11,0,0,,,
4,6,13,87,25,0,0,,,
4,6,14a,87,20,0,0,,,
4,6,14b,87,13,0,0,,,
4,6,15,87,10,0,0,,,
4,6,16,85,12,0,0,,,
4,6,17,71,20,0,0,,,
4,6,18,71,10,0,0,,,
4,6,19,71,12,0,0,,,
4,7,1,58,24,0,0,,,
4,7,2,58,30,0,0,,,
4,7,3,98,19,0,0,,,
4,7,4,98,20,0,0,,,
4,7,5,98,21,0,0,,,
4,7,6a,98,22,0,0,,,
4,7,6b,98,20,0,0,,,
4,7,7,98,21,0,0,,,
4,7,8,98,27,0,0,,,
4,7,9,98,15,0,0,,,
4,7,10a,98,16,0,0,,,
4,7,10b,98,11,0,0,,,
4,7,11,98,21,0,0,,,
4,7,12,98,22,0,0,,,
4,8,1,87,31,0,0,,,
4,8,2a,87,13,0,0,,,
4,8,2b,87,12,0,0,,,
4,8,2c,87,24,0,0,,,
4,8,3,87,13,0,0,,,
4,8,4a,87,15,0,0,,,
4,8,4b,87,16,0,0,,,
4,8,5,87,33,0,0,,,
4,8,6,87,20,0,0,,,
4,8,7a,87,12,0,0,,,
4,8,7b,87,13,0,0,,,
4,8,8a,87,11,0,0,,,
4,8,8b,87,16,0,0,,,
4,8,8c,87,14,0,0,,,
4,8,8d,87,16,0,0,,,
4,8,8e,87,15,0,0,,,
4,8,9,87,18,0,0,,,
4,8,10,87,12,0,0,,,
4,8,11,87,11,0,0,,,
4,8,12,87,22,0,0,,,
4,8,13,87,23,0,0,,,
4,8,14,87,11,0,0,,,
4,8,15,87,15,0,0,,,
4,8,16,87,15,0,0,,,
4,9,1a,71,13,0,0,,,
4,9,1b,71,17,0,0,,,
4,9,2,54,19,0,0,,,
4,9,3,87,24,0,0,,,
4,9,4,71,12,0,0,,,
4,9,5,55,20,0,0,,,
4,9,6,55,21,0,0,,,
4,9,7a,55,11,0,0,,,
4,9,7b,55,11,0,0,,,
4,9,7c,55,32,0,0,,,
4,9,8,55,13,0,0,,,
4,9,9,55,12,0,0,,,
4,9,10,55,17,0,0,,,
4,9,11,55,14,0,0,,,
4,9,12,71,20,0,0,,,
4,9,13,71,10,0,0,,,
4,9,14,71,10,0,0,,,
4,9,15,71,11,0,0,,,
4,9,16,87,11,0,0,,,
4,9,17,87,20,0,0,,,
4,9,18,71,10,0,0,,,
4,9,19,87,22,0,0,,,
4,9,20,71,21,0,0,,,
4,9,21,87,12,0,0,,,
4,9,22,87,28,0,0,,,
4,9,23,55,27,0,0,,,
4,9,24,111,23,0,0,,,
